candidate,kind,halflife,train_days,ap_primary_62d,lift_primary_62d,ap_tail_late,lift_tail_late,rounds_2026-05-14,ntrain_2026-05-14,ap_tail_recent,lift_tail_recent,rounds_2026-06-28,ntrain_2026-06-28,secs,d_tail_late,lo_tail_late,hi_tail_late,d_tail_recent,lo_tail_recent,hi_tail_recent,verdict,ap_tail_far,lift_tail_far,rounds_2026-04-15,ntrain_2026-04-15,d_tail_far,lo_tail_far,hi_tail_far,drop_blocks,n_features
lgb_base,lgb,,,0.7348442759134534,43.79602559512493,0.5491387907851519,34.550496428463546,244,491877,0.5600066135877749,35.234273788992624,283,664746,141,0.0,0.0,0.0,0.0,0.0,0.0,reference,0.5320317792203045,33.47416426637414,215.0,382367.0,0.0,0.0,0.0,,
hl_7d,lgb,7.0,,0.7276209906974768,43.365524610672736,0.5507294237405345,34.65057524126306,179,491877,0.5539417819191733,34.85268911782843,208,664746,85,0.0015906329553825,-0.0024098797932723,0.0057928120123123,-0.0060648316686016,-0.0098268441055051,-0.0021499387667646,SPLIT (folds disagree),0.5257474353388328,33.07876841294776,157.0,382367.0,-0.0062843438814716,-0.0115253479332574,-0.0014432747440666,,
hl_14d,lgb,14.0,,0.7322213983249428,43.63970456526251,0.5523135172665431,34.75024260884141,108,491877,0.5604661451665441,35.26318641442987,125,664746,62,0.0031747264813911,-0.0002103514243296,0.0071041777714139,0.0004595315787692,-0.0028387575407947,0.0036862015115007,unclear,0.5297915653348406,33.333215378501826,95.0,382367.0,-0.0022402138854639,-0.0070839997287577,0.0023961175956642,,
hl_21d,lgb,21.0,,0.7339849560703985,43.74481094315795,0.5529001423679777,34.787151654081114,115,491877,0.5589493257970201,35.16775177552112,133,664746,63,0.0037613515828257,0.0007296090265707,0.0067317259659973,-0.0010572877907548,-0.0037260886262204,0.0014116253948343,SPLIT (folds disagree),0.5289183824523339,33.278276804557144,101.0,382367.0,-0.0031133967679706,-0.0069289822278877,0.0006160304651838,,
hl_45d,lgb,45.0,,0.7342446783360029,43.76029014516697,0.5511152910451461,34.67485308714385,191,491877,0.5596381655922885,35.21109192428784,222,664746,89,0.0019765002599941,-0.0004735417384513,0.0043551198190771,-0.0003684479954864,-0.0032796653822104,0.0019191999944309,no result (< noise floor),0.5297679261593337,33.33172805824212,168.0,382367.0,-0.0022638530609708,-0.0045495409680683,0.0005452396616151,,
hl_90d,lgb,90.0,,0.7338578725600053,43.73723688582862,0.5492355382207262,34.55658354520592,193,491877,0.5617106789813233,35.34148949890356,224,664746,88,9.674743557430698e-05,-0.0017910206201952,0.0019847367789611,0.0017040653935483,-0.0005497732996779,0.0040195217640122,no result (< noise floor),0.5300972544258484,33.35244860337014,170.0,382367.0,-0.0019345247944561,-0.0041806606819493,0.0008902323348948,,
win_45d,lgb,,45.0,0.7323716562757785,43.64865979737954,0.5516524428707635,34.70864939245676,106,169230,0.559021979662822,35.17232298260579,107,172869,22,0.0025136520856116,-0.0009361746913087,0.0061582257332071,-0.0009846339249529,-0.0042191955965106,0.0020165868562027,no result (< noise floor),0.5324207947567863,33.49864019145787,105.0,166347.0,0.0003890155364817,-0.0035493462281418,0.0042846808762159,,
win_90d,lgb,,90.0,0.7333523748536747,43.707109699415945,0.5498370129758271,34.59442689505962,150,333403,0.5612588295853088,35.31306021799102,151,342099,50,0.0006982221906751,-0.0021655733083249,0.0037369336404993,0.0012522159975338,-0.0024595902915249,0.0042003329269553,no result (< noise floor),0.531915352978939,33.46683900634156,148.0,328438.0,-0.0001164262413655,-0.002597442748876,0.0023843670251046,,
win_120d,lgb,,120.0,0.7345660429537222,43.77944317320887,0.5494084804839314,34.56746465786353,207,441565,0.5606367395894075,35.27391980660096,209,452228,75,0.0002696896987794,-0.002334566302599,0.0027780605033357,0.0006301260016325,-0.0021735592789269,0.0033071463748517,no result (< noise floor),0.5319847670892063,33.47120637577369,192.0,382367.0,-4.701213109825631e-05,-0.000749976752782,0.0006623191393269,,
cat_base,cat,,,0.7373741683967009,43.94680480043545,0.5519704313732013,34.72865646681052,702,491877,0.5618524589536426,35.35040995491476,816,664746,423,0.0,0.0,0.0,0.0,0.0,0.0,reference,0.5342723993387737,33.615138713453405,618.0,382367.0,0.0,0.0,0.0,,
cat_deep,cat,,,0.7369191669940409,43.919687146083525,0.5513535920904916,34.689846417708495,574,491877,0.5613946330760388,35.32160464810627,667,664746,1264,-0.0006168392827097247,-0.0022731786431462314,0.0010501621253547221,-0.00045782587760379023,-0.002523318498653518,0.0016080352249530831,no result (< noise floor),0.5331302075339864,33.54327474293422,506.0,382367.0,-0.0011421918047872515,-0.003865960604223015,0.0014247719968771438,,
cat_rsm,cat,,,0.7359910778526171,43.86437390881046,0.5520361711961618,34.73279265889259,527,491877,0.5604661759608277,35.26318835193238,612,664746,358,6.573982296043113e-05,-0.0014742287668650961,0.0015734912533748684,-0.0013862829928148468,-0.003477729509353014,0.0009366630035328137,no result (< noise floor),0.5323481669339677,33.49407062293529,464.0,382367.0,-0.0019242324048059922,-0.004743352770384748,0.0010051722416930574,,
