variant,stat,alpha,ap_late,ap_recent,objective,d_late,verdict
none,-,0.0,0.553039165682903,0.5629846716144468,0.5580119186486749,0.0,reference
customer,mean,0.1,0.4118711654537768,0.4221465458594473,0.41700885565661205,-0.14116800022912623,worse
customer,mean,0.2,0.3476015243586914,0.357788707530603,0.3526951159446472,-0.2054376413242116,worse
customer,mean,0.3,0.3132781918273643,0.32390667435590675,0.31859243309163554,-0.23976097385553868,worse
customer,mean,0.5,0.2757280756431142,0.28659130345232486,0.2811596895477195,-0.2773110900397888,worse
customer,mean,0.7,0.254061126751752,0.26345286853573546,0.2587569976437437,-0.298978038931151,worse
customer,mean,1.0,0.23206197133012182,0.23960714912906633,0.2358345602295941,-0.32097719435278116,worse
customer,max,0.1,0.553791854280728,0.5635376799347752,0.5586647671077516,0.0007526885978249576,no result (< noise floor)
customer,max,0.2,0.5543968066518494,0.5640708924696944,0.5592338495607719,0.0013576409689464164,no result (< noise floor)
customer,max,0.3,0.5548938614290684,0.5644396952464362,0.5596667783377522,0.001854695746165369,no result (< noise floor)
customer,max,0.5,0.5553105742324833,0.5648549357038419,0.5600827549681626,0.0022714085495803005,no result (< noise floor)
customer,max,0.7,0.5547591486658938,0.5643082663723578,0.5595337075191258,0.0017199829829908087,no result (< noise floor)
customer,max,1.0,0.1590874856622789,0.1700784289606136,0.16458295731144623,-0.3939516800206241,worse
customer,cummean,0.1,0.43201448076872445,0.43613639815403066,0.43407543946137755,-0.12102468491417856,worse
customer,cummean,0.2,0.37988270865031415,0.38587594770084604,0.3828793281755801,-0.17315645703258886,worse
customer,cummean,0.3,0.3538214024621967,0.3605730782145963,0.3571972403383965,-0.19921776322070633,worse
customer,cummean,0.5,0.32590019975881807,0.3324969539638485,0.32919857686133325,-0.22713896592408495,worse
customer,cummean,0.7,0.3091509380831719,0.314986885528668,0.31206891180591995,-0.2438882275997311,worse
customer,cummean,1.0,0.2923056034851876,0.2972985452358591,0.2948020743605233,-0.26073356219771543,worse
customer,cummax,0.1,0.5531075668166495,0.5629735973178838,0.5580405820672667,6.840113374650958e-05,no result (< noise floor)
customer,cummax,0.2,0.5530636811344413,0.5629905165102463,0.5580270988223438,2.4515451538253963e-05,no result (< noise floor)
customer,cummax,0.3,0.5529667722520342,0.5628572299066482,0.5579120010793412,-7.239343086884453e-05,no result (< noise floor)
customer,cummax,0.5,0.5523390988608591,0.5623181492115167,0.5573286240361879,-0.0007000668220439321,no result (< noise floor)
customer,cummax,0.7,0.550553262211334,0.5607241544648296,0.5556387083380818,-0.002485903471568962,no result (< noise floor)
customer,cummax,1.0,0.20621345806395622,0.21966142774814726,0.21293744290605174,-0.3468257076189468,worse
merchant,mean,0.1,0.49202676830572223,0.49493700562258336,0.4934818869641528,-0.06101239737718078,worse
merchant,mean,0.2,0.4286375078720829,0.42295088555795685,0.42579419671501983,-0.12440165781082013,worse
merchant,mean,0.3,0.3885005473616245,0.38029466812413476,0.3843976077428796,-0.16453861832127853,worse
merchant,mean,0.5,0.3338230388721196,0.3262647193197179,0.33004387909591876,-0.2192161268107834,worse
merchant,mean,0.7,0.29757015049213,0.28944682401905963,0.2935084872555948,-0.25546901519077303,worse
merchant,mean,1.0,0.23825747189758129,0.23860259123685593,0.2384300315672186,-0.3147816937853217,worse
merchant,max,0.1,0.5526119583111532,0.5628082261375144,0.5577100922243338,-0.00042720737174983814,no result (< noise floor)
merchant,max,0.2,0.5514638289198132,0.5621667706785564,0.5568152997991848,-0.0015753367630898518,no result (< noise floor)
merchant,max,0.3,0.5491146197136206,0.5607307774631031,0.5549226985883619,-0.003924545969282378,worse
merchant,max,0.5,0.538802919035772,0.5536375076512838,0.5462202133435279,-0.014236246647130968,worse
merchant,max,0.7,0.5078082558707498,0.5311605586856137,0.5194844072781818,-0.045230909812153164,worse
merchant,max,1.0,0.014491682196754181,0.01434842758323273,0.014420054889993456,-0.5385474834861488,worse
merchant,cummean,0.1,0.4656102899709325,0.4685902919586989,0.4671002909648157,-0.0874288757119705,worse
merchant,cummean,0.2,0.39742522306531486,0.3981209172844497,0.3977730701748823,-0.15561394261758815,worse
merchant,cummean,0.3,0.35972291158268055,0.359031164865631,0.3593770382241558,-0.19331625410022246,worse
merchant,cummean,0.5,0.31486733390977856,0.3129213252872849,0.3138943295985317,-0.23817183177312445,worse
merchant,cummean,0.7,0.28581883492102683,0.28381216716277496,0.2848155010419009,-0.2672203307618762,worse
merchant,cummean,1.0,0.24318863882615943,0.24474894418857965,0.24396879150736955,-0.3098505268567436,worse
merchant,cummax,0.1,0.5515037003945804,0.5621470667341332,0.5568253835643568,-0.0015354652883226017,no result (< noise floor)
merchant,cummax,0.2,0.5487437376569587,0.5605110619247096,0.5546273997908342,-0.004295428025944292,worse
merchant,cummax,0.3,0.5439588260253289,0.5575560918323605,0.5507574589288446,-0.009080339657574155,worse
merchant,cummax,0.5,0.5248712946941168,0.5450305116811229,0.5349509031876198,-0.02816787098878626,worse
merchant,cummax,0.7,0.47710342839588354,0.5073729444770605,0.492238186436472,-0.07593573728701947,worse
merchant,cummax,1.0,0.015133701774564719,0.015119583226062576,0.015126642500313647,-0.5379054639083383,worse
device,mean,0.1,0.466984949593696,0.5029474381671244,0.4849661938804102,-0.08605421608920699,worse
device,mean,0.2,0.42366196524245653,0.46165925463472834,0.44266060993859246,-0.12937720044044648,worse
device,mean,0.3,0.3948605909709448,0.4342052131616831,0.41453290206631394,-0.15817857471195823,worse
device,mean,0.5,0.3570502528663955,0.3933517151974151,0.37520098403190527,-0.1959889128165075,worse
device,mean,0.7,0.32973199041555756,0.36196679549642735,0.3458493929559925,-0.22330717526734545,worse
device,mean,1.0,0.2972054316971649,0.32358934740130174,0.31039738954923335,-0.2558337339857381,worse
device,max,0.1,0.5540969149737823,0.5637673066080678,0.5589321107909251,0.0010577492908793173,no result (< noise floor)
device,max,0.2,0.5549798808358773,0.5644208490515461,0.5597003649437118,0.0019407151529743372,no result (< noise floor)
device,max,0.3,0.5556872325737409,0.5649354734754843,0.5603113530246127,0.0026480668908378524,no result (< noise floor)
device,max,0.5,0.5567283561939397,0.5658264165741402,0.5612773863840399,0.0036891905110366663,better
device,max,0.7,0.5572396370697404,0.5664463817207199,0.5618430093952302,0.004200471386837434,better
device,max,1.0,0.39627707123769246,0.4175523079604991,0.40691468959909577,-0.15676209444521055,worse
device,cummean,0.1,0.45300178869602764,0.47841342326719405,0.4657076059816109,-0.10003737698687537,worse
device,cummean,0.2,0.40860881697204476,0.4306036952453351,0.41960625610868996,-0.14443034871085825,worse
device,cummean,0.3,0.3846113420319117,0.4030121977877834,0.39381176990984756,-0.1684278236509913,worse
device,cummean,0.5,0.3571516115085405,0.37132230658465815,0.36423695904659936,-0.1958875541743625,worse
device,cummean,0.7,0.34059980603791856,0.3527012897056832,0.3466505478718009,-0.21243935964498445,worse
device,cummean,1.0,0.3231708194185355,0.3331058396441963,0.3281383295313659,-0.22986834626436753,worse
device,cummax,0.1,0.5531999907201323,0.5630796153377136,0.5581398030289229,0.0001608250372292508,no result (< noise floor)
device,cummax,0.2,0.5533120827801495,0.5631234305157481,0.5582177566479488,0.0002729170972465278,no result (< noise floor)
device,cummax,0.3,0.5533755260218784,0.5630932710585363,0.5582343985402074,0.0003363603389754388,no result (< noise floor)
device,cummax,0.5,0.553363272628562,0.5629124715476742,0.558137872088118,0.00032410694565898623,no result (< noise floor)
device,cummax,0.7,0.55265697579746,0.5623003283871015,0.5574786520922808,-0.00038218988544302945,no result (< noise floor)
device,cummax,1.0,0.40924156070936146,0.43373059748639914,0.4214860790978803,-0.14379760497354155,worse
