candidate,slice,n,n_pos,base_rate,ap,lift,rounds,secs
raw_plain,primary_62d,240065,4028,0.016778789077958052,0.3166804791311573,18.873857801047986,115,5
raw_plain,tail_late,67196,1068,0.015893803202571583,0.22593606396888968,14.215355575331003,115,5
raw_plain,wf_mar,111562,2132,0.019110449794732972,0.42384184072945197,22.17853819674443,84,1
raw_plain,wf_apr,113265,1964,0.01733986668432437,0.371443606314487,21.421364597357623,101,1
raw_plain,wf_may,114591,1909,0.01665924898115908,0.3491948474388225,20.961019781488794,115,1
raw_plain,tail_recent,67196,1068,0.015893803202571583,0.22932776684596123,14.428753390431845,133,2
raw_spw,primary_62d,240065,4028,0.016778789077958052,0.3070595054022075,18.300456843192887,107,5
raw_spw,tail_late,67196,1068,0.015893803202571583,0.21447971195372864,13.494549367455758,107,5
raw_spw,wf_mar,111562,2132,0.019110449794732972,0.4124115750237393,21.580422201124957,78,1
raw_spw,wf_apr,113265,1964,0.01733986668432437,0.35778859004808705,20.633872022299688,94,1
raw_spw,wf_may,114591,1909,0.01665924898115908,0.3377530708122559,20.27420751044904,107,1
raw_spw,tail_recent,67196,1068,0.015893803202571583,0.21784402294113078,13.706223750517063,124,2
raw_spw_half,primary_62d,240065,4028,0.016778789077958052,0.3070511427942859,18.299958439650013,88,5
raw_spw_half,tail_late,67196,1068,0.015893803202571583,0.21572862579097563,13.573128032444192,88,5
raw_spw_half,wf_mar,111562,2132,0.019110449794732972,0.41017940991015084,21.46361882194946,64,1
raw_spw_half,wf_apr,113265,1964,0.01733986668432437,0.3620919493572841,20.88204920771527,77,1
raw_spw_half,wf_may,114591,1909,0.01665924898115908,0.3393975150053052,20.37291809427602,88,1
raw_spw_half,tail_recent,67196,1068,0.015893803202571583,0.21813588069603262,13.724586740871356,102,1
