fold,horizon_d,n_val,base_rate,val_ap,x_base,train_ap,best_iter
primary_62d,62,240065,0.016778789077958052,0.7340494416590413,43.7486542234056,0.9028590699045576,184
tail_late,17,67196,0.015893803202571583,0.5493824349131459,34.565825932981035,0.8998808788895138,177
tail_recent,17,67196,0.015893803202571583,0.5611343925897648,35.305230940507336,0.8812244086906919,174
wf_mar,30,111562,0.019110449794732972,0.8176698716046602,42.786531996228476,0.9354389884649825,165
wf_apr,30,113265,0.01733986668432437,0.7903462572086803,45.57971935984786,0.9604713553167463,269
wf_may,30,114591,0.01665924898115908,0.7966804629027485,47.82211153718641,0.9350618414957527,266
