name,kind,halflife,val_ap,x_base,rounds,secs
lgb_deep,lgb,,0.7239151517451387,43.14466010518787,1360,232
lgb_hl90,lgb,90.0,0.7222161336386396,43.04340022888779,618,87
lgb_base,lgb,,0.721721723117872,43.013933828275064,808,100
lgb_hl45,lgb,45.0,0.7216308614854915,43.008518560703706,479,75
lgb_shallow,lgb,,0.7190931481691708,42.85727324112016,1283,91
xgb_base,xgb,,0.7123447463668364,42.455074860117826,233,61
cat_base,cat,,0.7087919289347453,42.243330292879754,731,163
